"word","confidence","library","target","overlap_terms","source_file"
"styler","direct-wordnet-synonym-review","compliance-business-type-synonym","salon","hairdresser hairstylist","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"stylist","direct-wordnet-synonym-review","compliance-business-type-synonym","salon","hairdresser hairstylist","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"deduction","direct-wordnet-synonym-review","market-regex-budget_price_pattern","BUDGET_PRICE_PATTERN","price discount","market-validation-api/src/domain/market-research/scoring.ts"
"overhead","direct-wordnet-synonym-review","market-regex-budget_price_pattern","BUDGET_PRICE_PATTERN","cost","market-validation-api/src/domain/market-research/scoring.ts"
"price","direct-wordnet-synonym-review","market-regex-budget_price_pattern","BUDGET_PRICE_PATTERN","price cost value","market-validation-api/src/domain/market-research/scoring.ts"
"tawdry","direct-wordnet-synonym-review","market-regex-budget_price_pattern","BUDGET_PRICE_PATTERN","cheap","market-validation-api/src/domain/market-research/scoring.ts"
"price","direct-wordnet-synonym-review","market-regex-budget_target_pattern","BUDGET_TARGET_PATTERN","value cost","market-validation-api/src/domain/market-research/scoring.ts"
"babe","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","infant","market-validation-api/src/domain/market-research/scoring.ts"
"baby","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","infant","market-validation-api/src/domain/market-research/scoring.ts"
"bambino","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","toddler","market-validation-api/src/domain/market-research/scoring.ts"
"civilise","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","school","market-validation-api/src/domain/market-research/scoring.ts"
"civilize","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","school","market-validation-api/src/domain/market-research/scoring.ts"
"foundling","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","infant","market-validation-api/src/domain/market-research/scoring.ts"
"philosophy","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","school","market-validation-api/src/domain/market-research/scoring.ts"
"picnic","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","day","market-validation-api/src/domain/market-research/scoring.ts"
"pupil","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","school","market-validation-api/src/domain/market-research/scoring.ts"
"schoolchild","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","school","market-validation-api/src/domain/market-research/scoring.ts"
"schooltime","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","day school","market-validation-api/src/domain/market-research/scoring.ts"
"tot","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","toddler","market-validation-api/src/domain/market-research/scoring.ts"
"yearling","direct-wordnet-synonym-review","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","toddler","market-validation-api/src/domain/market-research/scoring.ts"
"roach","direct-wordnet-synonym-review","market-regex-fda_relevant_pattern","FDA_RELEVANT_PATTERN","drug","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"lavishness","direct-wordnet-synonym-review","market-regex-high_income_target_pattern","HIGH_INCOME_TARGET_PATTERN","luxury","market-validation-api/src/domain/market-research/scoring.ts"
"moneyed","direct-wordnet-synonym-review","market-regex-high_income_target_pattern","HIGH_INCOME_TARGET_PATTERN","affluent wealthy","market-validation-api/src/domain/market-research/scoring.ts"
"substantial","direct-wordnet-synonym-review","market-regex-high_income_target_pattern","HIGH_INCOME_TARGET_PATTERN","affluent wealthy","market-validation-api/src/domain/market-research/scoring.ts"
"acres","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","estate","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"betterment","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","improvement","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
