added_to_code,phrase,decision,library,target,source,reason
yes,taco truck,add,setup-classifier,Food Truck,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,lunch truck,add,setup-classifier,Food Truck,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,mobile catering,add,setup-classifier,Food Truck,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,food cart,add,setup-classifier,Food Truck,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,street vendor,add,setup-classifier,Food Truck,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,bake shop,add,setup-classifier,Bakery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,cake shop,add,setup-classifier,Bakery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,pastry shop,add,setup-classifier,Bakery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,bread bakery,add,setup-classifier,Bakery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,cookie shop,add,setup-classifier,Bakery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,coffee cafe,add,setup-classifier,Coffee Shop / Cafe,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,espresso bar,add,setup-classifier,Coffee Shop / Cafe,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,coffee roaster,add,setup-classifier,Coffee Shop / Cafe,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,tea room,add,setup-classifier,Coffee Shop / Cafe,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,coffee stand,add,setup-classifier,Coffee Shop / Cafe,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,brew pub,add,setup-classifier,Brewery / Winery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,beer garden,add,setup-classifier,Brewery / Winery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,cider house,add,setup-classifier,Brewery / Winery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,wine tasting room,add,setup-classifier,Brewery / Winery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,craft brewery,add,setup-classifier,Brewery / Winery,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,cocktail lounge,add,setup-classifier,Bar / Tavern,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,beer bar,add,setup-classifier,Bar / Tavern,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,wine lounge,add,setup-classifier,Bar / Tavern,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,pub house,add,setup-classifier,Bar / Tavern,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,event catering,add,setup-classifier,Catering Service,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,wedding catering,add,setup-classifier,Catering Service,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,corporate catering,add,setup-classifier,Catering Service,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,catering company,add,setup-classifier,Catering Service,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,food store,add,setup-classifier,Grocery Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,produce store,add,setup-classifier,Grocery Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,grocery market,add,setup-classifier,Grocery Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,fresh market,add,setup-classifier,Grocery Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,corner market,add,setup-classifier,Convenience Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,quick stop,add,setup-classifier,Convenience Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,neighborhood market,add,setup-classifier,Convenience Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,sandwich bar,add,setup-classifier,Restaurant,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,lunch counter,add,setup-classifier,Restaurant,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,fast food restaurant,add,setup-classifier,Restaurant,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,takeout restaurant,add,setup-classifier,Restaurant,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,supper club,add,setup-classifier,Restaurant,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,family restaurant,add,setup-classifier,Restaurant,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,dental office,add,setup-classifier,Dental Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,dental clinic,add,setup-classifier,Dental Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,orthodontic office,add,setup-classifier,Dental Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,family dentist,add,setup-classifier,Dental Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,counseling center,add,setup-classifier,Mental Health Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,therapy practice,add,setup-classifier,Mental Health Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,addiction counseling,add,setup-classifier,Mental Health Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,behavioral therapy,add,setup-classifier,Mental Health Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,psychotherapy practice,add,setup-classifier,Mental Health Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,family counseling,add,setup-classifier,Mental Health Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,rehab clinic,add,setup-classifier,Physical Therapy Clinic,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,physiotherapy clinic,add,setup-classifier,Physical Therapy Clinic,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,sports therapy,add,setup-classifier,Physical Therapy Clinic,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,physical rehab,add,setup-classifier,Physical Therapy Clinic,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,chiropractic clinic,add,setup-classifier,Chiropractic Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,spine care,add,setup-classifier,Chiropractic Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,back clinic,add,setup-classifier,Chiropractic Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,eye care clinic,add,setup-classifier,Optometry Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,vision clinic,add,setup-classifier,Optometry Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,optical shop,add,setup-classifier,Optometry Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,eye care center,add,setup-classifier,Optometry Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,apothecary shop,add,setup-classifier,Pharmacy,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,compounding drugstore,add,setup-classifier,Pharmacy,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,prescription pharmacy,add,setup-classifier,Pharmacy,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,home nursing,add,setup-classifier,Home Health Agency,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,senior home care,add,setup-classifier,Home Health Agency,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,in home care,add,setup-classifier,Home Health Agency,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,caregiver agency,add,setup-classifier,Home Health Agency,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,veterinary clinic,add,setup-classifier,Veterinary Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,animal doctor,add,setup-classifier,Veterinary Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,pet clinic,add,setup-classifier,Veterinary Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,medical hospital,add,setup-classifier,Hospital,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,surgical center,add,setup-classifier,Hospital,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,acute care hospital,add,setup-classifier,Hospital,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,doctor office,add,setup-classifier,Medical Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,physician office,add,setup-classifier,Medical Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,primary care clinic,add,setup-classifier,Medical Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,family doctor,add,setup-classifier,Medical Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,medical clinic,add,setup-classifier,Medical Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,pediatric clinic,add,setup-classifier,Medical Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,specialty clinic,add,setup-classifier,Medical Practice,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,fitness studio,add,setup-classifier,Gym / Fitness Center,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,exercise gym,add,setup-classifier,Gym / Fitness Center,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,training gym,add,setup-classifier,Gym / Fitness Center,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,weight room,add,setup-classifier,Gym / Fitness Center,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,personal training studio,add,setup-classifier,Personal Training,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,fitness trainer,add,setup-classifier,Personal Training,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,strength training coach,add,setup-classifier,Personal Training,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,beauty shop,add,setup-classifier,Spa / Salon,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,hairdresser salon,add,setup-classifier,Spa / Salon,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,day spa,add,setup-classifier,Spa / Salon,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,nail spa,add,setup-classifier,Spa / Salon,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,skin care clinic,add,setup-classifier,Spa / Salon,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,massage spa,add,setup-classifier,Spa / Salon,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,barber shop,add,setup-classifier,Barbershop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,grooming studio,add,setup-classifier,Barbershop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,shave shop,add,setup-classifier,Barbershop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,tattoo parlor,add,setup-classifier,Tattoo Studio,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,piercing studio,add,setup-classifier,Tattoo Studio,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,body art studio,add,setup-classifier,Tattoo Studio,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,used car dealership,add,setup-classifier,Auto Dealership,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,car dealer,add,setup-classifier,Auto Dealership,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,auto dealer,add,setup-classifier,Auto Dealership,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,vehicle dealership,add,setup-classifier,Auto Dealership,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,collision center,add,setup-classifier,Collision / Auto Body Repair,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,body repair shop,add,setup-classifier,Collision / Auto Body Repair,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,auto paint shop,add,setup-classifier,Collision / Auto Body Repair,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,detailing shop,add,setup-classifier,Car Wash,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,vehicle wash,add,setup-classifier,Car Wash,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,auto detail shop,add,setup-classifier,Car Wash,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,mechanic shop,add,setup-classifier,Auto Repair Shop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,repair garage,add,setup-classifier,Auto Repair Shop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,brake repair,add,setup-classifier,Auto Repair Shop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,oil change shop,add,setup-classifier,Auto Repair Shop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,automotive garage,add,setup-classifier,Auto Repair Shop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,electrical service,add,setup-classifier,Electrical Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,electrical company,add,setup-classifier,Electrical Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,electric service,add,setup-classifier,Electrical Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,wiring contractor,add,setup-classifier,Electrical Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,plumbing company,add,setup-classifier,Plumbing Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
