"word","already_lexically_mapped","confidence","library","target","score","overlap_terms","wordnet_synonym_tokens","wordnet_gloss_sample","source_file"
"aa","no","wordnet-gloss-synonym-candidate","setup-classifier","Gym / Fitness Center","5.0","arts group","associate arts alcoholics anonymous","an associate degree in arts   / an international organization that provides a support group for persons trying to overcome alcoholism  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"ab","no","wordnet-gloss-synonym-candidate","setup-classifier","Gym / Fitness Center","5.0","arts group","type group abdominal muscle bachelor arts artium baccalaurens","the blood group whose red cells carry both the A and B antigens   / the muscles of the abdomen  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abandon","no","wordnet-gloss-synonym-candidate","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","3.5","car parking","abandon wantonness unconstraint wildness give forsake desolate desert vacate empty","the trait of lacking restraint or control; reckless freedom from inhibition or worry; ""she danced with abandon""   / a feeling of extreme emotional intensity; ""the wildness of his anger""  ","market-validation-api/src/domain/market-research/scoring.ts"
"abandon","no","wordnet-gloss-synonym-candidate","setup-classifier","Auto Dealership","3.5","car lot","abandon wantonness unconstraint wildness give forsake desolate desert vacate empty","the trait of lacking restraint or control; reckless freedom from inhibition or worry; ""she danced with abandon""   / a feeling of extreme emotional intensity; ""the wildness of his anger""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abandonment","no","wordnet-gloss-synonym-candidate","setup-classifier","Tutoring Center","5.0","act help","desertion abandonment defection forsaking","withdrawing support or help despite allegiance or responsibility; ""his abandonment of his wife and children left them penniless""   / the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abduction","no","wordnet-gloss-synonym-candidate","setup-classifier","Law Firm","5.0","criminal family","abduction","(physiology) moving of a body part away from the central axis of the body   / the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abecedarian","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","7.5","human learning knowledge","abecedarian","a 16th century sect of Anabaptists centered in Germany who had an absolute disdain for human knowledge   / a novice learning the rudiments of some subject  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abele","no","wordnet-gloss-synonym-candidate","registry-reserved-word","government","5.0","united states","white poplar aspen abele silver leaved populus alba","a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces  ","registry-api/src/reservedWords.ts"
"abidance","no","wordnet-gloss-synonym-candidate","setup-classifier","Accounting / Bookkeeping / Tax Preparation","3.5","accounting financial","abidance residency residence conformity conformation compliance","the act of abiding (enduring without yielding)   / the act of dwelling in a place  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abide","no","wordnet-gloss-synonym-candidate","setup-classifier","Auto Dealership","5.0","new lot","digest endure stick out stomach bear stand tolerate support brook abide suffer put bide stay","put up with something or somebody unpleasant; ""I cannot bear his constant criticism""; ""The new secretary had to endure a lot of unprofessional remarks""; ""he learned to tolerate the heat""; ""She stuck out two years in a miserable marriage""   / dwell; ""You can stay with me while you are in town""; ""stay a bit longer--the day is still young""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"ablation","no","wordnet-gloss-synonym-candidate","setup-classifier","Collision / Auto Body Repair","3.5","body removal","ablation extirpation cutting out excision","surgical removal of a body part or tissue   / the erosive process that reduces the size of glaciers  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"able","no","wordnet-gloss-synonym-candidate","setup-classifier","Tutoring Center","5.0","program skills","able capable bodied","(usually followed by `to') having the necessary means or skill or know-how or authority to do something; ""able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project""   / having inherent physical or mental ability or capacity; ""able to learn""; ""human beings are able to walk on two feet""; ""Superman is able to leap tall buildings""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"able","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","human program","able capable bodied","(usually followed by `to') having the necessary means or skill or know-how or authority to do something; ""able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project""   / having inherent physical or mental ability or capacity; ""able to learn""; ""human beings are able to walk on two feet""; ""Superman is able to leap tall buildings""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"able","no","wordnet-gloss-synonym-candidate","setup-classifier","Collision / Auto Body Repair","3.5","body car","able capable bodied","(usually followed by `to') having the necessary means or skill or know-how or authority to do something; ""able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project""   / having inherent physical or mental ability or capacity; ""able to learn""; ""human beings are able to walk on two feet""; ""Superman is able to leap tall buildings""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abnegate","no","wordnet-gloss-synonym-candidate","market-regex-special_federal_license_pattern","SPECIAL_FEDERAL_LICENSE_PATTERN","5.0","wine spirits","abnegate deny","deny or renounce; ""They abnegated their gods""   / surrender (power or a position); ""The King abnegated his power to the ministers""  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"abnegate","no","wordnet-gloss-synonym-candidate","setup-classifier","Brewery / Winery","5.0","wine spirits","abnegate deny","deny or renounce; ""They abnegated their gods""   / surrender (power or a position); ""The King abnegated his power to the ministers""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abnegate","no","wordnet-gloss-synonym-candidate","setup-classifier","Liquor Store","5.0","wine spirits","abnegate deny","deny or renounce; ""They abnegated their gods""   / surrender (power or a position); ""The King abnegated his power to the ministers""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"aboard","no","wordnet-gloss-synonym-candidate","setup-classifier","Heavy Manufacturing","3.5","ship vehicle","aboard board alongside","on first or second or third base; ""Their second homer with Bob Allison aboard""   / on a ship, train, plane or other vehicle  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abode","no","wordnet-gloss-synonym-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","3.5","housing home","dwelling home domicile abode habitation house residence","housing that someone is living in; ""he built a modest dwelling near the pond""; ""they raise money to provide homes for the homeless""   / any address at which you dwell more than temporarily; ""a person can have several residences""  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
