"word","confidence","library","target","overlap_terms","source_file"
"accountancy","direct-wordnet-synonym-review","setup-classifier","Accounting / Bookkeeping / Tax Preparation","accounting","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"calculator","direct-wordnet-synonym-review","setup-classifier","AI Services","machine computer","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"lisp","direct-wordnet-synonym-review","setup-classifier","AI Services","language processing","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"mainframe","direct-wordnet-synonym-review","setup-classifier","AI Services","computer processing","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"simulation","direct-wordnet-synonym-review","setup-classifier","AI Services","model computer","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"brakes","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","brake","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"skid","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","brake","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"upkeep","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","maintenance","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"rusk","direct-wordnet-synonym-review","setup-classifier","Bakery","bread baked","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"zwieback","direct-wordnet-synonym-review","setup-classifier","Bakery","bread baked","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"booze","direct-wordnet-synonym-review","setup-classifier","Brewery / Winery","spirits drink hard","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"repast","direct-wordnet-synonym-review","setup-classifier","Catering Service","meal","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"manufactory","direct-wordnet-synonym-review","setup-classifier","Chemical Manufacturing","manufacturing plant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"baby","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","infant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"bambino","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","toddler","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"infancy","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","early childhood","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"schoolchild","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","school","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"tot","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","toddler","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"backbone","direct-wordnet-synonym-review","setup-classifier","Chiropractic Practice","spinal spine back","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"rachis","direct-wordnet-synonym-review","setup-classifier","Chiropractic Practice","spinal spine back","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"washables","direct-wordnet-synonym-review","setup-classifier","Cleaning / Janitorial Service","washing laundry","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"coffeehouse","direct-wordnet-synonym-review","setup-classifier","Coffee Shop / Cafe","coffee cafe bar","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"chassis","direct-wordnet-synonym-review","setup-classifier","Collision / Auto Body Repair","frame","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"indent","direct-wordnet-synonym-review","setup-classifier","Collision / Auto Body Repair","dent","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"pavement","direct-wordnet-synonym-review","setup-classifier","Concrete Contractor","paving sidewalk","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"organisation","direct-wordnet-synonym-review","setup-classifier","Consulting / Professional Services","administration","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"programme","direct-wordnet-synonym-review","setup-classifier","Consulting / Professional Services","course","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"caries","direct-wordnet-synonym-review","setup-classifier","Dental Practice","dental tooth","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"cavity","direct-wordnet-synonym-review","setup-classifier","Dental Practice","dental tooth","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"net","direct-wordnet-synonym-review","setup-classifier","E-commerce / Online Store","web internet","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"impedance","direct-wordnet-synonym-review","setup-classifier","Electrical Contractor","electrical electric","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"resistance","direct-wordnet-synonym-review","setup-classifier","Electrical Contractor","electrical electric","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"resistivity","direct-wordnet-synonym-review","setup-classifier","Electrical Contractor","electrical electric","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"wattage","direct-wordnet-synonym-review","setup-classifier","Electrical Contractor","electrical electric","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"dig","direct-wordnet-synonym-review","setup-classifier","Excavation Contractor","excavation site","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
